"","B_Cycling","B_GC_DZ","B_GC_LZ","B_GC_prePB","B_IFN","B_activated","B_mem","B_naive","B_plasma","B_preGC","DC_CCR7.","DC_cDC1","DC_cDC2","DC_pDC","Endo","FDC","ILC","Macrophages_M1","Macrophages_M2","Mast","Monocytes","NK","NKT","T_CD4.","T_CD4._TfH","T_CD4._TfH_GC","T_CD4._naive","T_CD8._CD161.","T_CD8._cytotoxic","T_CD8._naive","T_TIM3.","T_TfR","T_Treg","VSMC"
"0610010K14Rik",0.23054452,0.10702416,0.1586801,0.20956285,0.035449386,0.07990326,0.06841722,0.060942657,0.08940104,0.14937836,0.9905732,0.11890616,0.62137914,0.42242837,0.34464878,0.21432465,0.207211,0.20285852,0.16873755,0.30515206,0.20153031,0.21154706,0.06351736,0.15269673,0.045678347,0.10165964,0.09554099,0.077690236,0.076516755,0.08742899,0.32794133,0.21198297,0.108015575,0.11663119
"0610012G03Rik",0.69487894,0.37965247,0.33957335,0.39265266,0.34786618,0.16093163,0.21320553,0.16924645,0.2992198,0.32619113,0.27042398,0.16299716,0.4220046,0.44136766,0.33424386,0.123922125,0.12150003,0.031836823,0.14493966,0.14313723,0.1932367,0.23375528,0.1521824,0.19625916,0.14557539,0.25512722,0.23527446,0.18221986,0.16559331,0.2371411,0.5707885,0.28592408,0.17470886,0.63382363
"0610030E20Rik",0.31074807,0.16218592,0.15374745,0.32570583,0.12235881,0.07908775,0.08857194,0.07415907,0.1564705,0.103598095,0.24877597,0.10267088,0.17724273,0.29265293,0.16074416,0.29931137,0.14895464,0.11780036,0.15991138,0.18526292,0.21210787,0.11458777,0.08244985,0.086999625,0.09120862,0.13857965,0.09225472,0.0778172,0.063941084,0.0995696,0.29267526,0.14352623,0.084307946,0.16618915
"1110004F10Rik",3.1804984,1.3912877,1.2778149,1.8930936,1.1484357,0.92519414,1.1579399,0.960187,1.5046753,1.4404256,1.3487589,1.2389556,2.5954278,2.2288604,1.962907,1.477825,1.0325793,0.9366484,1.1075531,0.78643864,1.1052674,1.0205,0.98914033,1.1262925,0.90853065,1.1478503,0.9591044,0.97595376,0.87029076,1.0417572,2.2878067,1.1906695,1.027453,2.3810077
"1110038F14Rik",0.39514214,0.22816405,0.27965942,0.3337618,0.20855263,0.12459023,0.15606573,0.121973485,0.17308022,0.48070782,0.1835455,0.06987745,0.30390474,0.29446468,0.4849548,0.3266776,0.07927039,0.22770034,0.23459613,0.12876898,0.12164574,0.14617147,0.12494733,0.12869722,0.09522932,0.13914758,0.14557947,0.112122685,0.08235326,0.1474095,0.26385468,0.16115291,0.11716295,0.53476053
"1110059E24Rik",0.19322807,0.10873992,0.1007087,0.10632068,0.16093622,0.074358344,0.075006574,0.07831824,0.10906531,0.1336143,0.046286255,0.18304898,0.16592996,0.16068494,0.2345808,0.34516713,0.1067008,0.056814246,0.0951076,0.10260171,0.104465485,0.096174054,0.07465071,0.071784236,0.05948416,0.07642318,0.081225924,0.058782235,0.057998512,0.078588635,0.1843797,0.1113991,0.063029446,0.4934172
"1110059G10Rik",0.5219143,0.20950882,0.2707071,0.117940925,0.21576184,0.15231681,0.19731505,0.1647259,0.19179216,0.26160774,0.09660955,0.21395291,0.30755034,0.24304494,0.38696644,0.3044843,0.093159646,0.071155146,0.19345742,0.16972841,0.23506029,0.19376749,0.1726031,0.19161893,0.15388209,0.20178814,0.17688192,0.13089877,0.16130763,0.19284932,0.52807325,0.21638577,0.15486187,0.22118047
"1110065P20Rik",0.23325181,0.10106695,0.124818556,0.1637843,0.1042113,0.037110068,0.09854654,0.04618394,0.62287337,0.111429796,0.10798617,0.07220214,0.38460281,0.21570817,0.31969404,0.369154,0.07190204,0.23764183,0.12776583,0.109514035,0.23467928,0.15209511,0.060821723,0.08026145,0.043422677,0.14718325,0.052801028,0.06708875,0.078912035,0.064268604,0.4444933,0.12051596,0.073578134,0.80571645
"1190005I06Rik",0.18841644,0.6893145,0.3261864,0.7204485,0.27499008,0.45475125,0.30044737,0.50617313,0.6782666,0.12844582,0.044974335,0.020067982,0.08121937,0.025790544,0.01834111,0.30910507,0.054348465,0.15501426,0.038080677,0.11532723,0.040970583,0.022653593,0.01308158,0.04722437,0.00609885,0.010571844,0.032622878,0.026051946,0.029574534,0.05722817,0.27220595,0.016499873,0.03256534,0.09337931
"1500009L16Rik",3.6960034,0.95891047,0.7641928,0.3778771,0.25482756,0.19095105,0.35658616,0.15335631,0.43521422,0.24081932,0.06614916,0.046552785,0.45542675,7.0529323,0.057376195,0.5092661,0.094326764,0.22953562,0.021000916,0.14693645,0.012521492,1.0449655,0.84514153,0.32510003,0.0073079206,0.014295631,0.061256766,0.25773734,0.6461885,0.1692686,1.9615886,0.15741447,0.1375501,0.5556315
"1600012H06Rik",0.13701619,0.17569917,0.14644915,0.15448394,0.13544124,0.055138797,0.06158798,0.06596472,0.1788828,0.06873951,0.38893536,0.04919507,0.120120995,0.06737827,0.11995807,0.089123964,0.08184654,0.066616684,0.08212066,0.118140176,0.114031084,0.058647305,0.0537724,0.08374043,0.06745138,0.071264975,0.07268865,0.057947125,0.041894004,0.07219422,0.09605997,0.05974545,0.06532596,0.08615316
"1600014C10Rik",0.118493035,0.083471335,0.0980896,0.1706785,0.09623558,0.06211313,0.079954684,0.057896648,0.14685014,0.09792657,0.15412717,0.04304388,0.12980969,0.14294411,0.13949901,0.0721105,0.0704742,0.185813,0.11305033,0.09487296,0.03912632,0.20760709,0.18797185,0.14833461,0.106040396,0.118232556,0.09569849,0.1073069,0.11401533,0.12534334,0.37646306,0.18532315,0.116671786,0.46794003
"1700017B05Rik",0.10753598,0.03469732,0.046308294,0.035148714,0.06679447,0.029079404,0.06138954,0.019210981,0.24783237,0.059967674,0.086368166,0.041849915,0.53153205,0.4314271,0.10188365,0.16535613,0.17434433,0.12315964,0.19363298,0.2228756,0.47898552,0.12030815,0.046800423,0.031653535,0.033820614,0.018444384,0.031856995,0.030591637,0.027428119,0.029995225,0.10399425,0.01897563,0.024992056,0.2652212
"1700019D03Rik",0.4337919,0.21293446,0.31101254,0.03470058,0.016901407,0.005053213,0.014970505,0.0014876903,0.37650222,0.013543094,0.04801898,0.017885504,0.011346191,0.066760786,0.028302943,0.19433281,0.005817179,0.06763031,0.013702133,0.11456702,0.023513338,0.0017142678,0.0017467167,0.0017321378,0.00044817143,0.0008361983,0.00057189626,0.00121133,0.0022051476,0.0016354829,0.009190192,0.004856756,0.0009646051,0.09890267
"1700025G04Rik",0.08444001,0.02463957,0.051025227,0.04988063,0.009213053,0.0005614287,0.0028230473,0.00045187701,0.012347563,0.0047381623,0.6992728,0.99699247,0.4531773,0.032340966,1.0313439,0.05027742,0.027871884,0.55403376,0.12742636,0.5543402,0.028772462,0.60608006,0.16728945,0.00578841,0.0008927253,0.0005852296,0.00056117564,0.03581858,0.22493176,0.004295397,0.021388264,0.0024207833,0.0017276644,0.71380985
"1700066M21Rik",0.2576166,0.082176164,0.16344327,0.26298004,0.06988836,0.09662254,0.12310581,0.07041998,0.09118311,0.097390585,0.21619576,0.06244899,0.26656613,0.106362745,0.25265372,0.19730856,0.08964605,0.11711526,0.11387001,0.1921288,0.10054607,0.062718466,0.067750886,0.12426288,0.11821579,0.090600245,0.10959221,0.08279302,0.07809096,0.1164042,0.2151792,0.11683263,0.112655625,0.27654013
"1700093K21Rik",0.29461628,0.20679295,0.15985213,0.066301875,0.045045175,0.054370116,0.07358,0.051673323,0.3276454,0.030540345,0.051302806,0.13436937,0.107502036,0.11106252,0.21922976,0.30043325,0.07490781,0.13442029,0.14835733,0.20656429,0.077260114,0.080173194,0.034647938,0.048903596,0.033463795,0.068582036,0.05904867,0.04792263,0.03250768,0.0645954,0.22553536,0.08296456,0.05444041,0.27829328
"1700113H08Rik",0.0126407435,0.0025536167,0.003823142,0.06948542,0.20466071,0.21570684,0.19553305,0.18546693,0.028915145,0.065087095,0.041683506,0.034956735,0.013331758,0.06378225,0.00724485,0.07374859,0.007726176,0.09422946,0.0400348,0.10378039,0.0073859612,0.005222572,0.013250942,0.043762278,0.05366315,0.021528114,0.052095383,0.0371346,0.046605475,0.05888966,0.05022118,0.030708747,0.074104734,0.055070538
"1700123O20Rik",0.47844642,0.24996932,0.2570443,0.39846292,0.14209735,0.11349874,0.18542714,0.12054618,0.40602946,0.15894473,0.41929042,0.12432003,0.45801476,0.2820017,0.6957534,0.33540896,0.1491184,0.38645437,0.20508327,0.13371222,0.26577714,0.2468068,0.16131572,0.21729514,0.14073527,0.1811315,0.19246793,0.14987259,0.1439126,0.17590986,0.6583901,0.3056729,0.20460528,0.86959875
